CentralWavelength,Bandwidth
418.42,7.00
424.04,6.67
429.46,6.42
434.69,6.25
439.76,6.13
444.70,6.06
449.54,6.01
454.31,5.98
459.03,5.95
463.73,5.92
468.41,5.89
473.08,5.86
477.74,5.83
482.41,5.81
487.09,5.80
491.78,5.80
496.50,5.81
501.24,5.84
506.02,5.87
510.83,5.91
515.67,5.96
520.55,6.01
525.47,6.07
530.42,6.12
535.42,6.18
540.46,6.24
545.55,6.29
550.69,6.35
555.87,6.41
561.11,6.47
566.41,6.53
571.76,6.58
577.17,6.64
582.64,6.70
588.17,6.76
593.77,6.82
599.45,6.88
605.19,6.95
611.02,7.02
616.92,7.10
622.92,7.18
628.99,7.25
635.11,7.33
641.29,7.41
647.54,7.48
653.84,7.55
660.21,7.62
666.64,7.69
673.13,7.76
679.69,7.83
686.32,7.90
693.01,7.97
699.78,8.05
706.62,8.13
713.52,8.21
720.50,8.29
727.55,8.38
734.65,8.47
741.83,8.55
749.06,8.64
756.35,8.72
763.70,8.80
771.11,8.88
778.57,8.96
786.08,9.03
793.64,9.10
801.25,9.17
808.91,9.24
816.61,9.30
824.36,9.37
832.15,9.44
839.98,9.51
847.85,9.58
855.76,9.66
863.70,9.74
871.68,9.82
879.69,9.91
887.73,9.99
895.79,10.08
903.87,10.16
911.97,10.25
920.08,10.34
928.20,10.42
936.34,10.51
944.47,10.59
952.61,10.66
960.75,10.72
968.89,10.75
977.04,10.75
985.19,10.72
993.34,10.64
