Lat,Lon,TT
83.8199725,-24.7454933,2.685
83.8199269,-24.7453438,2.68
83.8198744,-24.7451904,2.667
83.8198212,-24.7450388,2.668
83.8197682,-24.7448854,2.687
83.8197151,-24.7447338,2.706
83.8196621,-24.7445804,2.706
83.819609,-24.7444286,2.684
83.8195561,-24.7442771,2.66
83.8195023,-24.7441254,2.657
83.8194573,-24.7439742,2.694
83.8193972,-24.7438189,2.801
83.8193502,-24.7436669,2.976
83.8192987,-24.7435138,3.132
83.8192452,-24.7433604,3.148
83.8191921,-24.7432053,3.024
83.8191393,-24.7430497,2.9
83.8190852,-24.742896,2.889
83.8190404,-24.7427427,2.97
83.8189808,-24.7425876,3.064
83.818933,-24.7424322,3.144
83.8188819,-24.7422766,3.236
83.8188283,-24.7421231,3.329
83.8187754,-24.7419679,3.354
83.8187223,-24.7418142,3.3
83.8186695,-24.7416592,3.259
83.8186155,-24.741504,3.304
83.8185692,-24.7413469,3.404
83.8185182,-24.7411913,3.454
83.8184646,-24.7410344,3.388
83.8184117,-24.7408784,3.256
83.8183586,-24.7407232,3.151
83.8183056,-24.7405677,3.106
83.8182525,-24.7404128,3.102
83.8181997,-24.7402546,3.109
83.8181456,-24.7400953,nan
83.8180989,-24.7399359,nan
83.8180484,-24.7397781,nan
83.8179947,-24.7396209,nan
83.8179419,-24.7394639,nan
83.8178888,-24.7393049,nan
83.8178357,-24.7391484,nan
83.8177827,-24.7389921,nan
83.8177296,-24.7388346,nan
83.8176766,-24.7386776,nan
83.8176236,-24.738519,nan
83.8175705,-24.7383597,nan
83.8175175,-24.7382004,nan
83.8174644,-24.7380427,nan
83.8174112,-24.7378844,nan
83.8173583,-24.7377251,nan
83.8173049,-24.7375657,nan
83.8172532,-24.7374078,nan
83.8171937,-24.7372498,nan
83.8171423,-24.7370897,nan
83.8170936,-24.7369345,nan
83.8170405,-24.7367782,nan
83.8169827,-24.7366192,nan
83.8169255,-24.7364635,nan
83.8168734,-24.7363072,nan
83.8168201,-24.7361498,nan
83.816767,-24.7359926,nan
83.816714,-24.735835,nan
83.8166609,-24.735679,nan
83.8166079,-24.7355224,nan
83.8165548,-24.7353673,nan
83.8165018,-24.735212,nan
83.8164487,-24.7350562,nan
83.8163957,-24.7349025,nan
83.8163426,-24.7347463,nan
83.8162896,-24.734593,nan
83.8162366,-24.7344409,nan
83.8161835,-24.7342874,nan
83.8161305,-24.7341328,nan
83.8160774,-24.7339785,nan
83.8160244,-24.7338233,nan
83.8159713,-24.7336672,nan
83.8159183,-24.733514,nan
83.8158652,-24.7333615,nan
83.8158121,-24.733209,nan
83.8157591,-24.7330572,nan
83.8157058,-24.7329061,nan
83.8156536,-24.7327538,nan
83.8155971,-24.7326037,nan
83.8155384,-24.7324528,nan
83.8154864,-24.7323017,nan
83.8154331,-24.7321493,nan
83.8153801,-24.7319994,nan
83.8153271,-24.731848,nan
83.815274,-24.7316989,nan
83.8152209,-24.7315482,nan
83.8151679,-24.7313977,nan
83.8151146,-24.7312498,nan
83.8150623,-24.7310997,nan
83.8150065,-24.7309507,nan
83.8149472,-24.7308029,nan
83.8148952,-24.7306557,nan
83.8148419,-24.7305095,nan
83.8147889,-24.730362,nan
83.8147358,-24.7302159,nan
83.8146828,-24.7300678,nan
83.8146298,-24.7299206,nan
83.8145767,-24.7297744,nan
83.8145234,-24.7296264,nan
83.8144709,-24.7294785,nan
83.8144159,-24.7293316,nan
83.8143561,-24.7291874,nan
83.814304,-24.7290418,nan
83.8142507,-24.7288975,nan
83.8141977,-24.7287518,nan
83.8141446,-24.728608,nan
83.8140916,-24.7284639,nan
83.8140386,-24.7283199,nan
83.8139855,-24.7281761,nan
83.8139324,-24.7280315,nan
83.8138793,-24.7278838,nan
83.8138263,-24.7277402,nan
83.8137732,-24.7275961,nan
83.8137202,-24.7274524,nan
83.8136671,-24.7273102,nan
83.8136141,-24.7271662,nan
83.813561,-24.7270242,nan
83.813508,-24.7268799,nan
83.8134549,-24.7267361,nan
83.8134019,-24.726594,nan
83.8133488,-24.7264498,nan
83.8132958,-24.7263061,nan
83.8132428,-24.7261639,nan
